Designator,Footprint,Quantity,Value,LCSC Part #
"C201, C203, C204, C205, C206, C501, C601, C701",0402,8,100nF,C307331
"C202, C502, C602, C702",CP_Elec_6.3x7.7,4,150uF 10V ±20%,C249851
"D201, D202, D203",LED-APA102-2020,3,APA102-2020,C2909059
"H101, H102, H103, H104",MountingHole_4mm_Pad_Via,4,MountingHole_Pad,
"J101, J401",PinHeader_2x05_P2.54mm_Vertical,2,Conn_02x05_Odd_Even,C2829881
J201,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06,C2761399
J202,PinHeader_1x10_P2.54mm_Vertical,1,Conn_01x10,C706882
J301,PinHeader_2x12_P2.54mm_Vertical,1,Conn_02x12_Odd_Even,C2935922
J302,PinHeader_1x12_P2.54mm_Vertical,1,Conn_01x12,C225487
"J501, J601, J701",PinHeader_1x03_P2.54mm_Vertical,3,Conn_01x03,C358685
JP201,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels,1,Jumper_3_Open,
"P101, P102, P103, P104",SMD_BD5.6-D4.1,4,SMTSO3035CTJ,C2916333
"R101, R103",0402,2,1K,C11702
"R102, R104",0402,2,100R,C25076
U101,SMDIP-4_W9.53mm,1,LTV-817S,C106900
U201,SOIC-14_3.9x8.7mm_P1.27mm,1,CD74HCT125M96,C133797
U202,WT32-ETH01,1,WT32-ETH01-M3,
"U501, U601, U701",SOT-23-6,3,TPD3S014,C87384
USB401,USB-226-BRY,1,USB-226-BRY,
